Ticker,Price,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score,Share To Buy
PYPL,238.85,90.70636,0.93960,15.24,0.31818,14.14,0.29644,64.64923,0.89723,13.82693,0.28656,0.54760,83
ZTS,164.49,49.18961,0.82871,26.57,0.54348,12.55,0.26087,34.34094,0.71146,18.11117,0.38933,0.54677,121
MSCI,440.92,65.20197,0.89802,-96.33,0.03360,22.43,0.46640,40.52323,0.77668,26.39230,0.54150,0.54324,45
NFLX,523.04,82.78119,0.92178,22.38,0.46443,9.56,0.22134,25.90024,0.53162,25.30820,0.50791,0.52942,38
ALGN,544.72,24.34429,0.49208,13.82,0.28656,18.80,0.40514,97.96816,0.95059,25.35005,0.50988,0.52885,36
CDNS,136.00,36.19629,0.72772,15.80,0.33597,15.36,0.32016,61.96114,0.89130,16.71076,0.35968,0.52697,147
SPGI,332.00,32.73302,0.67624,177.64,0.98814,10.81,0.23123,19.74388,0.42490,14.95100,0.31028,0.52616,60
AMZN,3327.57,93.39962,0.94356,19.96,0.42885,4.60,0.18775,48.59772,0.82411,11.40413,0.24308,0.52547,6
ROST,123.20,145.50931,0.97129,14.46,0.30237,3.42,0.18577,53.46145,0.85573,14.07562,0.29644,0.52232,162
AMT,225.53,50.78787,0.84059,27.08,0.54941,12.49,0.25692,25.35500,0.50988,21.10371,0.44466,0.52029,88
EW,92.78,70.48225,0.90792,13.31,0.27273,13.26,0.27273,40.75215,0.78063,16.99697,0.36166,0.51913,215
EL,273.81,155.42231,0.97723,21.60,0.45059,7.02,0.19763,36.98729,0.73715,9.13790,0.21739,0.51600,73
XLNX,148.65,57.59238,0.87228,14.36,0.30237,12.20,0.25494,41.30414,0.78656,15.94300,0.33794,0.51082,134
CRM,229.59,59.23194,0.88218,5.34,0.19368,10.56,0.22727,129.99056,0.96640,13.33944,0.27470,0.50885,87
V,215.20,39.97476,0.77129,15.56,0.32609,20.20,0.43083,28.93567,0.58696,19.84813,0.42490,0.50801,92
EQIX,717.36,145.48296,0.96931,6.22,0.19368,11.05,0.23320,29.56398,0.60079,26.05763,0.53755,0.50690,27
IPGP,230.80,116.84356,0.95743,4.87,0.18972,10.19,0.22332,35.21384,0.71937,20.91586,0.44466,0.50690,86
FIS,146.74,2994.14713,0.99703,1.87,0.18379,7.29,0.19763,30.20178,0.61660,25.73749,0.52569,0.50415,136
GPN,213.22,162.58593,0.98317,2.30,0.18577,9.24,0.21739,33.66214,0.69565,20.76855,0.43874,0.50414,93
GLW,37.29,277.96210,0.99307,2.84,0.18577,2.60,0.18577,72.30589,0.90909,10.50308,0.22727,0.50019,536
CCI,158.00,116.88801,0.95941,7.21,0.19763,11.79,0.24901,28.77564,0.58696,23.25976,0.47826,0.49425,126
SNPS,265.83,60.52621,0.88812,8.13,0.20356,10.83,0.23123,55.39669,0.86561,13.46683,0.28063,0.49383,75
BKNG,2152.27,64.01193,0.89604,18.20,0.39328,9.92,0.22332,38.20731,0.74901,7.95880,0.20356,0.49304,9
CTXS,135.73,27.88940,0.56337,244.18,0.99012,5.20,0.19368,25.63048,0.52174,6.12796,0.19368,0.49252,147
COO,361.40,83.98759,0.92574,5.00,0.19170,7.88,0.20356,47.33345,0.81818,14.00130,0.29644,0.48712,55
TJX,69.41,111.39286,0.95545,15.14,0.31423,2.45,0.18577,38.31503,0.74901,9.45561,0.21937,0.48476,288
